Date,Time,Trace CO,TEMP,PM 2.5
6/5/2023,12:00 AM,143.44,57.7,4.4
6/5/2023,1:00 AM,139.72,56.6,3.8
6/5/2023,2:00 AM,149.65,55.5,4.2
6/5/2023,3:00 AM,169.46,54.8,4.2
6/5/2023,4:00 AM,187.71,56.3,4.6
6/5/2023,5:00 AM,170.8,57.3,3.9
6/5/2023,6:00 AM,180.45,58.9,5
6/5/2023,7:00 AM,203.2,60.4,5.1
6/5/2023,8:00 AM,182.18,62,5.2
6/5/2023,9:00 AM,153.21,64.7,5
6/5/2023,10:00 AM,142.16,67,4.3
6/5/2023,11:00 AM,132.99,68.9,3.9
6/5/2023,12:00 PM,139.44,71,7.2
6/5/2023,1:00 PM,136,72.7,7.4
6/5/2023,2:00 PM,143.81,73.2,7.5
6/5/2023,3:00 PM,142.75,73.2,7.6
6/5/2023,4:00 PM,163.09,73.7,7.5
6/5/2023,5:00 PM,176.61,73.7,7.3
6/5/2023,6:00 PM,230.51,70.3,7.1
6/5/2023,7:00 PM,229.26,68.3,6.9
6/5/2023,8:00 PM,247.34,67.9,9.2
6/5/2023,9:00 PM,294.21,69.8,46.2
6/5/2023,10:00 PM,298.88,68.5,64.1
6/5/2023,11:00 PM,305.61,67.2,70.5
6/6/2023,12:00 AM,308.1,65.9,75.7
6/6/2023,1:00 AM,310.63,65.2,78.8
6/6/2023,2:00 AM,323.68,64.5,84.1
6/6/2023,3:00 AM,342.44,63.7,84.7
6/6/2023,4:00 AM,347.6,62.9,84.3
6/6/2023,5:00 AM,398.11,62.7,85.2
6/6/2023,6:00 AM,460.09,64.2,76.5
6/6/2023,7:00 AM,390.63,65.6,61.7
6/6/2023,8:00 AM,325.74,63.9,55.3
6/6/2023,9:00 AM,316.75,66.1,56.1
6/6/2023,10:00 AM,367.81,70,61.9
6/6/2023,11:00 AM,361.32,73.4,69.1
6/6/2023,12:00 PM,,75.5,82.2
6/6/2023,1:00 PM,,76.3,82.1
6/6/2023,2:00 PM,,73.6,77
6/6/2023,3:00 PM,401.47,70.8,75.8
6/6/2023,4:00 PM,404.21,69.7,64.6
6/6/2023,5:00 PM,532.74,70.5,94.6
6/6/2023,6:00 PM,759.45,70.7,201.9
6/6/2023,7:00 PM,678.16,68.9,192.4
6/6/2023,8:00 PM,660.72,67.5,185.2
6/6/2023,9:00 PM,661.58,66.2,174.7
6/6/2023,10:00 PM,650.47,64.4,168
6/6/2023,11:00 PM,623.23,63.5,153.3
6/7/2023,12:00 AM,547.08,62.5,128.8
6/7/2023,1:00 AM,511.8,61.7,115.9
6/7/2023,2:00 AM,471.92,60.6,102.3
6/7/2023,3:00 AM,469.24,59.2,98.3
6/7/2023,4:00 AM,461.83,58.2,93.1
6/7/2023,5:00 AM,496.5,57.9,90.5
6/7/2023,6:00 AM,497.72,59,90.8
6/7/2023,7:00 AM,515.02,60.4,94.7
6/7/2023,8:00 AM,502.23,62.5,92.8
6/7/2023,9:00 AM,478.3,65.7,83.3
6/7/2023,10:00 AM,541.52,68.2,123.7
6/7/2023,11:00 AM,871.04,67.9,262.8
6/7/2023,12:00 PM,1099.13,67.6,362.3
6/7/2023,1:00 PM,1167.19,65.4,412
6/7/2023,2:00 PM,1016.25,65.8,375.6
6/7/2023,3:00 PM,790.23,66.2,268.4
6/7/2023,4:00 PM,780.59,67,252.2
6/7/2023,5:00 PM,805.78,67.2,259.8
6/7/2023,6:00 PM,851.73,66.7,278.5
6/7/2023,7:00 PM,810.09,65.9,274.6
6/7/2023,8:00 PM,841.52,64.7,274
6/7/2023,9:00 PM,859.57,63.9,267.1
6/7/2023,10:00 PM,823.18,63.1,254.7
6/7/2023,11:00 PM,764,61.1,227.9
6/8/2023,12:00 AM,648.6,59.2,181.9
6/8/2023,1:00 AM,668.91,57,175.4
6/8/2023,2:00 AM,697.69,55,168.8
6/8/2023,3:00 AM,749.79,54.2,160.5
6/8/2023,4:00 AM,853.61,54.6,151.8
6/8/2023,5:00 AM,1125.26,56.1,156.9
6/8/2023,6:00 AM,944.78,59.9,167.2
6/8/2023,7:00 AM,683.16,60.9,148.6
6/8/2023,8:00 AM,686.31,62.8,134.6
6/8/2023,9:00 AM,633.01,64.1,109
6/8/2023,10:00 AM,604.73,66.2,108.3
6/8/2023,11:00 AM,532.56,68,96.6
6/8/2023,12:00 PM,514.95,68.5,86.7
6/8/2023,1:00 PM,431.37,69.4,64.7
6/8/2023,2:00 PM,552.02,68.9,72.1
6/8/2023,3:00 PM,703.85,66.8,91.2
6/8/2023,4:00 PM,665.1,66.7,78.5
6/8/2023,5:00 PM,682.97,66.2,82.2
6/8/2023,6:00 PM,674.04,66.2,81
6/8/2023,7:00 PM,635.11,65.9,67.1
